x,Curve1,Curve2,Curve3,Curve4
47.9107,0.6372,1.0798,0.804,-0.556
47.9368,0.6209,1.1122,0.8282,-0.5322
47.9766,0.5965,1.1472,0.873,-0.4935
48.1362,0.4988,1.2218,0.9759,-0.2623
48.1449,0.4933,1.2239,0.9771,-0.2499
48.1966,0.4598,1.233,0.981,-0.1877
48.2762,0.4002,1.2339,0.9804,-0.1096
48.3679,0.2876,1.2119,0.9738,-0.0309
48.3983,0.2423,1.199,0.9705,-0.0063
48.5391,0.137,1.0993,0.9493,0.1036
48.5608,0.1269,1.076,0.9452,0.1209
48.7037,0.0708,0.9646,0.9111,0.2469
48.7084,0.0691,0.9639,0.9097,0.2516
48.7317,0.0607,0.9613,0.9026,0.2758
48.9613,-0.0263,0.9629,0.7917,0.5669
48.9655,-0.0281,0.9631,0.7887,0.5726
49.0737,-0.0816,0.9657,0.703,0.7095
49.1853,-0.1575,0.961,0.6026,0.8169
49.2145,-0.1836,0.9559,0.574,0.8391
49.2503,-0.2218,0.9443,0.5371,0.8635
49.356,-0.3586,0.8749,0.4068,0.9206
49.3593,-0.362,0.8739,0.4018,0.9221
49.4502,-0.4298,0.8629,0.228,0.9561
49.5317,-0.468,0.8608,0.0719,0.9757
49.582,-0.4876,0.8588,0.0022,0.9823
49.6396,-0.508,0.8532,-0.0653,0.9844
49.8175,-0.5666,0.7755,-0.2436,0.9605
49.8387,-0.5739,0.7599,-0.264,0.9554
49.8766,-0.5877,0.7326,-0.3006,0.9456
49.9509,-0.6226,0.6908,-0.3748,0.9248
50.0191,-0.6954,0.6699,-0.4488,0.9056
